,AFFGEOID,GEOID,distr_name,total_worker_pop,info,finance_realest,prof_sci_mgmt_adm,edu_health,arts_ent_food_rec,otherserv,public_admin,agro,construct,manufact,wholesale,retail,transport_util,pct_info,pct_finance_realest,pct_prof_sci_mgmt_adm,pct_edu_health,pct_arts_ent_food_rec,pct_otherserv,pct_public_admin,pct_agro,pct_construct,pct_manufact,pct_wholesale,pct_retail,pct_transport_util,pctRANK_info,pctRANK_finance_realest,pctRANK_prof_sci_mgmt_adm,pctRANK_edu_health,pctRANK_arts_ent_food_rec,pctRANK_otherserv,pctRANK_public_admin,pctRANK_agro,pctRANK_construct,pctRANK_manufact,pctRANK_wholesale,pctRANK_retail,pctRANK_transport_util,ind_profile
0,5001600US0101,0101,"Congressional District 1 (116th Congress), Alabama",294619,4108,16861,28484,65205,27392,14910,13061,4128,22378,35683,8782,37709,15918,0.013943432,0.057229846,0.096680798,0.221319738,0.092974316,0.050607734,0.044331832,0.014011316,0.075955726,0.121115746,0.029807989,0.127992424,0.054029102,343,241,270,267,209,140,191,185,83,128,107,50,163,"retail (50), construct (83), wholesale (107), manufact (128), otherserv (140), transport_util (163)"
1,5001600US0102,0102,"Congressional District 2 (116th Congress), Alabama",283125,3390,13627,23390,59322,25033,14492,23672,6461,16577,36424,7351,35000,18386,0.01197351,0.048130684,0.082613687,0.209525828,0.088416777,0.051185872,0.083609713,0.022820309,0.05855011,0.12864989,0.025963797,0.123620309,0.064939514,411,335,339,335,255,122,29,123,286,107,197,81,73,"public_admin (29), transport_util (73), retail (81), manufact (107), otherserv (122), agro (123)"
2,5001600US0103,0103,"Congressional District 3 (116th Congress), Alabama",298928,4404,16215,23476,69367,23131,14574,16447,4097,18848,52095,7110,34416,14748,0.014732645,0.054243831,0.078533961,0.232052534,0.077379837,0.048754215,0.055019938,0.013705641,0.063051972,0.174272735,0.023784992,0.115131403,0.049336295,309,283,362,198,387,191,100,190,243,35,274,212,240,"manufact (35), public_admin (100), agro (190), otherserv (191), edu_health (198), retail (212)"
3,5001600US0104,0104,"Congressional District 4 (116th Congress), Alabama",277526,3642,11616,18059,59878,19242,14290,11278,6201,21800,55577,7149,32890,15904,0.013123095,0.041855538,0.065071381,0.215756362,0.069334044,0.051490671,0.040637634,0.022343852,0.078551199,0.200258714,0.025759749,0.118511419,0.057306342,374,402,413,307,431,111,233,126,69,16,209,146,121,"manufact (16), construct (69), otherserv (111), transport_util (121), agro (126), retail (146)"
4,5001600US0105,0105,"Congressional District 5 (116th Congress), Alabama",323913,5651,11623,48174,66888,26266,14814,22959,2703,19510,48193,6259,38037,12836,0.017446043,0.035883092,0.148725121,0.206499893,0.081089675,0.045734503,0.070880144,0.008344833,0.060232223,0.148783778,0.01932309,0.11742968,0.039627925,210,430,64,348,343,292,47,252,267,74,390,161,364,"public_admin (47), prof_sci_mgmt_adm (64), manufact (74), retail (161), info (210), agro (252)"
5,5001600US0106,0106,"Congressional District 6 (116th Congress), Alabama",330918,7276,31179,35901,75737,24510,19424,13108,3708,22151,30955,11450,36617,18902,0.02198732,0.094219716,0.108489112,0.228869388,0.074066687,0.058697321,0.039611021,0.011205193,0.066938033,0.093542811,0.034600717,0.11065279,0.057119891,123,43,203,222,408,30,239,215,184,235,44,282,125,"otherserv (30), finance_realest (43), wholesale (44), info (123), transport_util (125), construct (184)"
6,5001600US0107,0107,"Congressional District 7 (116th Congress), Alabama",267679,4295,13872,21827,68675,28395,13762,12376,3614,14495,36876,5127,29611,14754,0.016045338,0.051823266,0.081541697,0.256557294,0.106078549,0.051412326,0.046234482,0.013501246,0.05415068,0.137762021,0.019153538,0.110621304,0.055118257,266,303,348,94,108,114,170,192,339,95,395,283,152,"edu_health (94), manufact (95), arts_ent_food_rec (108), otherserv (114), transport_util (152), public_admin (170)"
7,5001600US0200,0200,"Congressional District (at Large) (116th Congress), Alaska",351152,7766,12200,28755,84410,32505,15317,42274,16957,24492,12792,6093,38382,29209,0.022115779,0.034742789,0.081887616,0.240380234,0.092566752,0.043619287,0.120386613,0.04828963,0.069747574,0.036428669,0.01735146,0.109303094,0.083180503,120,432,345,156,218,357,5,38,143,414,416,311,22,"public_admin (5), transport_util (22), agro (38), info (120), construct (143), edu_health (156)"
8,5001600US0401,0401,"Congressional District 1 (116th Congress), Arizona",279352,3555,12297,22640,71353,37443,11904,21792,10966,16617,19492,3905,32895,14493,0.01272588,0.044019731,0.081044703,0.255423265,0.134035196,0.042612904,0.078009107,0.039255133,0.059484092,0.069775767,0.013978779,0.117754661,0.051880781,392,386,353,95,24,387,36,60,276,322,430,155,191,"arts_ent_food_rec (24), public_admin (36), agro (60), edu_health (95), retail (155), transport_util (191)"
9,5001600US0402,0402,"Congressional District 2 (116th Congress), Arizona",307009,5099,18421,41293,77503,33438,14996,23494,4189,16228,18164,5311,37276,11597,0.016608634,0.060001498,0.134500943,0.252445368,0.108915374,0.048845474,0.076525444,0.013644551,0.052858385,0.059164389,0.017299167,0.121416636,0.037774137,238,216,98,106,89,187,41,191,353,354,417,111,387,"public_admin (41), arts_ent_food_rec (89), prof_sci_mgmt_adm (98), edu_health (106), retail (111), otherserv (187)"
10,5001600US0403,0403,"Congressional District 3 (116th Congress), Arizona",322880,4446,17167,33480,68174,35579,15788,19950,11033,29088,18698,8338,39876,21263,0.013769822,0.05316836,0.103691774,0.211143459,0.110192641,0.048897423,0.061787661,0.03417059,0.090089197,0.057910059,0.025823835,0.123500991,0.065854187,348,296,233,326,82,185,70,69,21,362,205,82,62,"construct (21), transport_util (62), agro (69), public_admin (70), arts_ent_food_rec (82), retail (82)"
11,5001600US0404,0404,"Congressional District 4 (116th Congress), Arizona",274206,3908,16101,24830,61775,36265,13662,17247,7566,18993,16378,5063,36908,15510,0.014252059,0.058718628,0.090552358,0.225286828,0.132254582,0.049823855,0.062897967,0.027592394,0.069265443,0.059728817,0.01846422,0.134599535,0.056563314,328,226,297,236,26,158,67,97,149,353,406,17,132,"retail (17), arts_ent_food_rec (26), public_admin (67), agro (97), transport_util (132), construct (149)"
