GEOID,distr_name,total_worker_pop,agro,construct,manufact,wholesale,retail,transport_util,info,finance_realest,prof_sci_mgmt_adm,edu_health,arts_ent_food_rec,otherserv,public_admin
5001300US0101,"Congressional District 1 (113th Congress), Alabama",280683,4809,21914,31605,8062,37304,15739,4373,15268,25991,62573,26348,14478,12219
5001300US0102,"Congressional District 2 (113th Congress), Alabama",285351,6489,18309,36135,8170,35490,17273,3573,13664,21372,60234,23541,15384,25717
5001300US0103,"Congressional District 3 (113th Congress), Alabama",279201,3775,18425,45242,5910,32615,12796,4414,14889,21190,64696,23292,13366,18591
5001300US0104,"Congressional District 4 (113th Congress), Alabama",269312,8536,20478,53055,7534,32431,14620,3532,11192,16900,57797,17754,14078,11405
5001300US0105,"Congressional District 5 (113th Congress), Alabama",308672,3530,20658,47256,5808,36174,13008,6196,13267,42088,59784,24553,15468,20882
5001300US0106,"Congressional District 6 (113th Congress), Alabama",319101,3471,22697,30373,11561,35393,16738,8332,30357,34462,71745,23084,17593,13295
5001300US0107,"Congressional District 7 (113th Congress), Alabama",259843,4942,15187,31483,5805,31033,14044,4558,14141,20398,67219,24467,13719,12847
5001300US0200,"Congressional District (at Large) (113th Congress), Alaska",343366,18994,26094,12992,6507,37570,26558,6633,14208,29156,80314,30392,14332,39616
5001300US0401,"Congressional District 1 (113th Congress), Arizona",265752,11936,17767,18079,4041,30048,13233,4023,12020,18990,68518,34009,11272,21816
5001300US0402,"Congressional District 2 (113th Congress), Arizona",302481,3667,15967,20172,5326,35799,12599,5238,16796,36963,78329,32611,15297,23717
5001300US0403,"Congressional District 3 (113th Congress), Arizona",279985,9602,20849,19063,8475,35208,15691,3826,13876,26960,61094,29485,14390,21466
5001300US0404,"Congressional District 4 (113th Congress), Arizona",250984,7201,18907,16158,5082,33560,13047,4206,15193,21795,52558,32357,12340,18580
5001300US0405,"Congressional District 5 (113th Congress), Arizona",327400,2059,20647,35669,9320,39946,15622,6204,30024,37786,73656,28007,14475,13985
5001300US0406,"Congressional District 6 (113th Congress), Arizona",358263,1363,20381,21328,9677,44940,13805,7978,44055,52968,77237,35940,16584,12007
5001300US0407,"Congressional District 7 (113th Congress), Arizona",268239,1528,28349,24121,7287,29015,15556,4581,17881,37004,46601,29932,15413,10971
5001300US0408,"Congressional District 8 (113th Congress), Arizona",300657,1493,17925,20416,7895,41247,17575,5518,32103,31369,67569,23945,15041,18561
5001300US0409,"Congressional District 9 (113th Congress), Arizona",368105,1546,20310,29213,9337,42461,16515,8317,33320,52307,79641,44476,17167,13495
5001300US0501,"Congressional District 1 (113th Congress), Arkansas",284637,15286,18908,43196,7426,35461,17237,3787,11464,15423,68616,20810,13600,13423
5001300US0502,"Congressional District 2 (113th Congress), Arkansas",337201,5215,24024,26130,9204,40730,18033,9080,22436,28062,88759,28644,16265,20619
5001300US0503,"Congressional District 3 (113th Congress), Arkansas",332205,6891,21459,54148,8936,54706,17674,4277,15076,25977,70232,28149,15803,8877
5001300US0504,"Congressional District 4 (113th Congress), Arkansas",291389,13451,20166,50094,6778,35483,15416,3399,11448,15571,69677,20849,13757,15300
5001300US0601,"Congressional District 1 (113th Congress), California",268852,10754,18558,16274,5601,34237,11390,4996,14426,25235,69670,25811,13840,18060
5001300US0602,"Congressional District 2 (113th Congress), California",325609,9464,22302,20668,8125,37221,10502,8457,24542,42947,73368,32697,18992,16324
5001300US0603,"Congressional District 3 (113th Congress), California",290954,15282,18605,21356,7785,35439,14210,4133,14640,25259,72692,26207,12349,22997
5001300US0604,"Congressional District 4 (113th Congress), California",300357,3699,22396,19219,7632,35679,12890,6171,23362,34379,62708,34509,14214,23499
5001300US0605,"Congressional District 5 (113th Congress), California",330568,9616,21352,32472,8606,37475,14690,5634,22374,36074,72756,35788,17870,15861
5001300US0606,"Congressional District 6 (113th Congress), California",297042,2033,18021,15091,7757,34046,14290,7362,18790,35684,64922,29009,15783,34254
5001300US0607,"Congressional District 7 (113th Congress), California",310586,1402,18935,18917,7216,34364,13833,6473,26382,35558,69337,25669,16457,36043
5001300US0608,"Congressional District 8 (113th Congress), California",243556,2912,19169,16520,5036,33373,17390,3789,11486,19229,56771,25513,12445,19923
5001300US0609,"Congressional District 9 (113th Congress), California",280635,12740,20257,23425,9944,32276,17120,5640,16765,25673,64257,23085,13960,15493
5001300US0610,"Congressional District 10 (113th Congress), California",284237,13976,21199,34988,12655,37278,15483,4460,11596,24999,59835,22417,13225,12126
5001300US0611,"Congressional District 11 (113th Congress), California",328479,2053,23211,21632,8374,34492,15251,8785,33387,51927,72404,27479,16950,12534
5001300US0612,"Congressional District 12 (113th Congress), California",403669,740,14292,23432,7751,38860,13553,19898,36322,87622,77457,49145,20438,14159
5001300US0613,"Congressional District 13 (113th Congress), California",342924,1073,17061,23224,7829,32078,16911,10869,20171,54987,91785,33075,20016,13845
5001300US0614,"Congressional District 14 (113th Congress), California",364711,1817,19564,26533,9241,38611,22849,10561,28276,58580,76330,36891,20873,14585
5001300US0615,"Congressional District 15 (113th Congress), California",339604,1229,19429,43552,12132,36838,18152,10352,23478,56050,65237,26639,14734,11782
5001300US0616,"Congressional District 16 (113th Congress), California",245487,32254,15049,24119,7996,27330,12607,2873,9104,18969,50215,20286,11406,13279
5001300US0617,"Congressional District 17 (113th Congress), California",344385,665,12555,79492,7745,30239,10347,14115,16590,73193,59267,20855,11630,7692
5001300US0618,"Congressional District 18 (113th Congress), California",352921,1957,16638,55463,8284,31744,6803,15158,21031,71544,77074,24747,14526,7952
5001300US0619,"Congressional District 19 (113th Congress), California",333395,3076,23807,56325,7722,37957,11811,9035,16231,49712,61116,28765,18118,9720
5001300US0620,"Congressional District 20 (113th Congress), California",308957,37443,19172,19999,9213,35005,9975,4534,12664,30180,64311,34450,16496,15515
5001300US0621,"Congressional District 21 (113th Congress), California",241338,67827,11974,15980,9614,23046,11602,1713,5722,13402,40019,17274,9045,14120
5001300US0622,"Congressional District 22 (113th Congress), California",295794,24195,15218,19719,13019,33951,13845,4107,16763,24550,74227,23592,13620,18988
5001300US0623,"Congressional District 23 (113th Congress), California",279524,24836,16458,18181,7752,31547,14110,3740,13464,22465,64230,22494,13486,26761
