GEOID,distr_name,total_worker_pop,info,finance_realest,prof_sci_mgmt_adm,edu_health,arts_ent_food_rec,otherserv,public_admin,agro,construct,manufact,wholesale,retail,transport_util
5001600US0101,"Congressional District 1 (116th Congress), Alabama",294619,4108,16861,28484,65205,27392,14910,13061,4128,22378,35683,8782,37709,15918
5001600US0102,"Congressional District 2 (116th Congress), Alabama",283125,3390,13627,23390,59322,25033,14492,23672,6461,16577,36424,7351,35000,18386
5001600US0103,"Congressional District 3 (116th Congress), Alabama",298928,4404,16215,23476,69367,23131,14574,16447,4097,18848,52095,7110,34416,14748
5001600US0104,"Congressional District 4 (116th Congress), Alabama",277526,3642,11616,18059,59878,19242,14290,11278,6201,21800,55577,7149,32890,15904
5001600US0105,"Congressional District 5 (116th Congress), Alabama",323913,5651,11623,48174,66888,26266,14814,22959,2703,19510,48193,6259,38037,12836
5001600US0106,"Congressional District 6 (116th Congress), Alabama",330918,7276,31179,35901,75737,24510,19424,13108,3708,22151,30955,11450,36617,18902
5001600US0107,"Congressional District 7 (116th Congress), Alabama",267679,4295,13872,21827,68675,28395,13762,12376,3614,14495,36876,5127,29611,14754
5001600US0200,"Congressional District (at Large) (116th Congress), Alaska",351152,7766,12200,28755,84410,32505,15317,42274,16957,24492,12792,6093,38382,29209
5001600US0401,"Congressional District 1 (116th Congress), Arizona",279352,3555,12297,22640,71353,37443,11904,21792,10966,16617,19492,3905,32895,14493
5001600US0402,"Congressional District 2 (116th Congress), Arizona",307009,5099,18421,41293,77503,33438,14996,23494,4189,16228,18164,5311,37276,11597
5001600US0403,"Congressional District 3 (116th Congress), Arizona",322880,4446,17167,33480,68174,35579,15788,19950,11033,29088,18698,8338,39876,21263
5001600US0404,"Congressional District 4 (116th Congress), Arizona",274206,3908,16101,24830,61775,36265,13662,17247,7566,18993,16378,5063,36908,15510
5001600US0405,"Congressional District 5 (116th Congress), Arizona",373426,7925,37985,45956,82074,32749,17770,14172,2307,22709,37002,10323,44525,17929
5001600US0406,"Congressional District 6 (116th Congress), Arizona",388624,8184,50301,60831,81147,43145,17595,11348,1991,21854,22134,10344,43416,16334
5001600US0407,"Congressional District 7 (116th Congress), Arizona",342511,5559,23424,46253,57805,38306,20071,12429,2257,36473,27363,8967,41564,22040
5001600US0408,"Congressional District 8 (116th Congress), Arizona",339070,6798,34855,35886,77984,30114,16527,16860,1577,21751,20755,8819,47066,20078
5001600US0409,"Congressional District 9 (116th Congress), Arizona",418900,9932,42073,62278,88449,49815,18971,13172,1620,24347,31876,9656,46824,19887
5001600US0501,"Congressional District 1 (116th Congress), Arkansas",290907,4110,11953,16448,72872,20685,13767,14146,14646,18679,43188,7499,35876,17038
5001600US0502,"Congressional District 2 (116th Congress), Arkansas",348395,9116,21791,31025,95371,29414,18417,19832,4805,20485,27541,8419,43505,18674
5001600US0503,"Congressional District 3 (116th Congress), Arkansas",367171,4700,17183,33711,79170,30614,16969,9798,6234,24958,56155,9359,57499,20821
5001600US0504,"Congressional District 4 (116th Congress), Arkansas",285790,3061,10806,17629,68922,21751,12642,14628,12353,20260,47796,5560,35055,15327
5001600US0601,"Congressional District 1 (116th Congress), California",284276,4607,13904,27076,71737,29045,15646,19593,11488,20206,17888,5281,36085,11720
5001600US0602,"Congressional District 2 (116th Congress), California",342085,8982,23725,47406,76922,36268,19100,17583,10800,23583,20735,8562,37004,11415
5001600US0603,"Congressional District 3 (116th Congress), California",317261,4467,14234,28465,76977,30399,13482,23672,17974,22991,23595,7283,36462,17260
5001600US0604,"Congressional District 4 (116th Congress), California",321124,6923,24161,39252,70244,37309,15349,23202,4759,24130,19414,6728,35599,14054
5001600US0605,"Congressional District 5 (116th Congress), California",361052,6185,20582,40053,79660,39741,20256,15868,9565,27739,34570,9901,40066,16866
5001600US0606,"Congressional District 6 (116th Congress), California",336654,6080,21144,41086,74163,35070,17457,35642,2372,22551,16792,8633,36719,18945
5001600US0607,"Congressional District 7 (116th Congress), California",344988,6237,27055,40256,78000,30344,17430,37522,2489,20139,20881,8299,37941,18395
5001600US0608,"Congressional District 8 (116th Congress), California",267817,3622,11233,23160,59110,30208,14210,18800,3152,22508,16015,6235,36503,23061
5001600US0609,"Congressional District 9 (116th Congress), California",319267,4403,17577,30603,69037,26054,16171,17034,13977,26157,27510,9700,37269,23775
5001600US0610,"Congressional District 10 (116th Congress), California",315114,4329,12891,29816,64854,25533,14145,12092,13951,25338,37777,12224,40369,21795
5001600US0611,"Congressional District 11 (116th Congress), California",365287,10219,31537,62888,79393,34416,20325,13052,2049,25441,22402,8423,36838,18304
5001600US0612,"Congressional District 12 (116th Congress), California",454212,29150,40109,115059,80973,51196,19649,13865,906,14155,23499,7963,40141,17547
5001600US0613,"Congressional District 13 (116th Congress), California",394238,14481,22808,71981,98838,41217,22423,14545,1671,20232,25511,7826,32901,19804
5001600US0614,"Congressional District 14 (116th Congress), California",407212,16251,30341,73369,82092,44277,21407,14565,1592,19500,29659,8872,40528,24759
5001600US0615,"Congressional District 15 (116th Congress), California",391659,13272,27443,74253,75444,30112,16912,13765,1920,21822,46732,12279,37382,20323
5001600US0616,"Congressional District 16 (116th Congress), California",272656,2908,8751,20378,59194,23955,13887,13570,31115,18416,28036,8524,29809,14113
5001600US0617,"Congressional District 17 (116th Congress), California",402054,22879,18056,100836,65547,26273,13443,7995,934,13344,81128,8994,31188,11437
5001600US0618,"Congressional District 18 (116th Congress), California",377314,25057,23337,82683,79142,29446,15738,8383,1747,17139,50571,6814,28556,8701
5001600US0619,"Congressional District 19 (116th Congress), California",386742,11792,17554,61671,76201,38463,18777,11758,3320,28180,57552,8198,38735,14541
5001600US0620,"Congressional District 20 (116th Congress), California",332243,5171,12247,32557,71923,37912,15417,14805,42184,22195,22950,9482,34014,11386
5001600US0621,"Congressional District 21 (116th Congress), California",257853,1563,5772,15349,42858,18424,11042,14302,71442,13110,16283,8733,26082,12893
5001600US0622,"Congressional District 22 (116th Congress), California",321559,4666,16829,26515,81673,27773,15313,21635,26075,16540,23497,11205,35239,14599
5001600US0623,"Congressional District 23 (116th Congress), California",292287,3753,12250,24802,67539,26697,13222,23461,28347,20166,17661,7689,31341,15359
5001600US0624,"Congressional District 24 (116th Congress), California",346193,6303,16088,39658,80081,42967,18488,16861,23303,22832,24235,7439,35790,12148
5001600US0625,"Congressional District 25 (116th Congress), California",320469,12801,23267,34381,70987,29320,17146,16320,2361,21917,33353,7679,35222,15715
5001600US0626,"Congressional District 26 (116th Congress), California",348256,7694,24106,42071,68235,34189,18206,17995,22624,19451,34699,10941,36264,11781
5001600US0627,"Congressional District 27 (116th Congress), California",347876,11362,26766,45766,87917,37025,19462,14505,864,15610,25956,13124,32467,17052
5001600US0628,"Congressional District 28 (116th Congress), California",390463,40174,25833,56993,76232,56346,26605,12031,1239,15539,20398,9045,35756,14272
5001600US0629,"Congressional District 29 (116th Congress), California",350624,14727,17997,41036,66464,39851,25958,8277,2426,33778,33987,8516,39999,17608
5001600US0630,"Congressional District 30 (116th Congress), California",401331,30574,34603,63457,84784,44903,24766,8190,1216,20267,27183,9819,38106,13463
5001600US0631,"Congressional District 31 (116th Congress), California",322913,3892,16096,30780,79429,27259,16601,16872,1793,22022,27704,10292,40780,29393
5001600US0632,"Congressional District 32 (116th Congress), California",340455,6006,17923,35739,72755,34785,19047,11784,2164,22497,40645,15436,39627,22047
5001600US0633,"Congressional District 33 (116th Congress), California",369366,31571,37424,72675,76044,36976,15108,8480,1006,10339,27941,11282,27661,12859
5001600US0634,"Congressional District 34 (116th Congress), California",361378,14417,17052,44117,63337,55205,26771,8397,1471,26039,36276,11970,40086,16240
5001600US0635,"Congressional District 35 (116th Congress), California",330832,4279,13839,31272,59908,31485,17464,12573,2481,27040,38163,13075,42387,36866
5001600US0636,"Congressional District 36 (116th Congress), California",287318,4186,13924,32132,57615,45158,17331,12063,9371,22826,14393,5372,38751,14196
5001600US0637,"Congressional District 37 (116th Congress), California",368872,22636,22083,61943,80943,46968,24680,9687,1217,17116,21369,7029,34907,18294
5001600US0638,"Congressional District 38 (116th Congress), California",330798,5333,17698,30725,74367,30321,16921,13818,1557,19595,39964,16010,39045,25444
5001600US0639,"Congressional District 39 (116th Congress), California",356073,7255,27493,42067,79639,35016,15796,13745,1644,17812,42211,18086,38729,16580
5001600US0640,"Congressional District 40 (116th Congress), California",312469,4180,10073,26783,52429,31859,17743,7632,2047,23898,51062,18071,39865,26827
5001600US0641,"Congressional District 41 (116th Congress), California",330258,4045,14250,30077,68885,30429,16491,14232,3193,31298,32600,11347,43397,30014
5001600US0642,"Congressional District 42 (116th Congress), California",348753,5709,20319,37315,73553,34295,16731,19068,2476,30786,35679,11383,42732,18707
5001600US0643,"Congressional District 43 (116th Congress), California",346151,10966,17225,45805,68949,39826,21695,11696,1130,17937,35097,10075,36327,29423
5001600US0644,"Congressional District 44 (116th Congress), California",310704,4926,11422,30590,56233,31348,18996,9655,2187,23074,42908,13758,35337,30270
5001600US0645,"Congressional District 45 (116th Congress), California",388132,10066,41124,65939,81576,34453,17781,11857,1422,15800,46629,14371,36113,11001
5001600US0646,"Congressional District 46 (116th Congress), California",356374,4841,20596,47495,58121,49678,21400,7666,2967,29178,50609,11180,39248,13395
5001600US0647,"Congressional District 47 (116th Congress), California",351857,7465,22663,41645,76342,40105,20874,13165,1629,18780,41376,10565,35494,21754
5001600US0648,"Congressional District 48 (116th Congress), California",374145,8286,39148,58122,70281,39098,21401,10124,2000,18221,41870,12594,40487,12513
5001600US0649,"Congressional District 49 (116th Congress), California",345250,8062,25146,55449,66043,39347,18311,12514,3738,20114,38643,11120,35839,10924
5001600US0650,"Congressional District 50 (116th Congress), California",348338,5618,19961,44581,68595,40453,20292,15555,6742,30559,31224,9014,40986,14758
5001600US0651,"Congressional District 51 (116th Congress), California",288569,3624,11507,30171,58458,39760,17357,17550,7342,22317,20123,6314,37655,16391
5001600US0652,"Congressional District 52 (116th Congress), California",385185,11894,29172,74185,89029,39788,16308,16538,1132,12413,41886,8558,31214,13068
5001600US0653,"Congressional District 53 (116th Congress), California",384656,8567,23525,54825,90955,47653,20709,26693,998,18071,27258,8144,40119,17139
5001600US0801,"Congressional District 1 (116th Congress), Colorado",458259,16009,38868,79704,93321,49720,23151,17680,5275,35483,25198,11709,42598,19543
5001600US0802,"Congressional District 2 (116th Congress), Colorado",435302,12089,24855,68273,99581,54136,20468,17200,7811,26674,36320,9170,44807,13918
5001600US0803,"Congressional District 3 (116th Congress), Colorado",348476,5631,19611,32746,75376,45538,16543,18973,17521,35974,15567,7605,41433,15958
5001600US0804,"Congressional District 4 (116th Congress), Colorado",398908,10626,26895,49191,77764,32940,19259,18723,20891,32903,34015,10722,44694,20285
5001600US0805,"Congressional District 5 (116th Congress), Colorado",353034,9371,23914,46410,79398,38478,20643,24256,3840,26334,20592,5879,39899,14020
5001600US0806,"Congressional District 6 (116th Congress), Colorado",425254,16331,38300,62438,84786,40817,20913,16780,5591,32043,25663,11779,45494,24319
5001600US0807,"Congressional District 7 (116th Congress), Colorado",420141,11249,25007,56417,79226,42611,21192,20173,6084,40519,32761,13209,48971,22722
5001600US0901,"Congressional District 1 (116th Congress), Connecticut",361634,8372,39213,39725,95907,25450,16661,16751,700,18491,37596,7986,38493,16289
5001600US0902,"Congressional District 2 (116th Congress), Connecticut",360438,6034,24101,33173,93975,40105,14496,16022,3039,21788,44922,8751,39080,14952
5001600US0903,"Congressional District 3 (116th Congress), Connecticut",366867,8323,24469,37373,114639,27612,17021,13440,799,20351,39465,9493,38390,15492
5001600US0904,"Congressional District 4 (116th Congress), Connecticut",364818,11004,48101,59154,82553,30915,18303,8301,981,23227,25774,8920,35008,12577
5001600US0905,"Congressional District 5 (116th Congress), Connecticut",356688,8106,28723,38207,92603,26770,17205,12658,1676,23474,43238,9564,40968,13496
5001600US09ZZ,"Congressional Districts not defined (116th Congress), Connecticut",0,0,0,0,0,0,0,0,0,0,0,0,0,0
5001600US1000,"Congressional District (at Large) (116th Congress), Delaware",450946,6360,42969,43984,111889,42118,19493,25452,4582,29997,38131,8983,54853,22135
5001600US1198,"Delegate District (at Large) (116th Congress), District of Columbia",369194,13858,24754,86267,68450,36729,33248,59985,476,10009,4684,1892,17287,11555
5001600US1201,"Congressional District 1 (116th Congress), Florida",328928,4165,25375,37975,66795,42299,17406,25705,3020,23324,15025,5804,46014,16021
5001600US1202,"Congressional District 2 (116th Congress), Florida",287983,4057,16077,29956,63747,30625,13546,31787,7840,21256,14604,4894,36349,13245
5001600US1203,"Congressional District 3 (116th Congress), Florida",309958,4526,18777,31241,91325,31863,15813,16483,4547,18869,15922,5768,38822,16002
5001600US1204,"Congressional District 4 (116th Congress), Florida",385620,6254,47760,53900,79371,40205,18102,17538,1890,23140,22733,9907,43467,21353
5001600US1205,"Congressional District 5 (116th Congress), Florida",316413,4330,23273,35398,71828,34225,16300,25273,2275,19410,14413,7489,41613,20586
5001600US1206,"Congressional District 6 (116th Congress), Florida",311753,5975,21654,34197,68430,37216,16334,13400,2918,25681,19435,7311,43423,15779
5001600US1207,"Congressional District 7 (116th Congress), Florida",380678,11213,34794,61347,83401,47034,18544,13152,1115,22351,20098,9218,42562,15849
5001600US1208,"Congressional District 8 (116th Congress), Florida",309408,4510,17404,41523,66702,34288,15774,15850,2235,21871,29220,5951,40256,13824
5001600US1209,"Congressional District 9 (116th Congress), Florida",370485,5685,21702,44697,70518,70453,17260,12219,3560,24513,16199,9375,49429,24875
5001600US1210,"Congressional District 10 (116th Congress), Florida",405282,8547,24851,53665,70702,89487,16937,10977,1927,28348,17718,10449,50042,21632
5001600US1211,"Congressional District 11 (116th Congress), Florida",245120,2985,14379,26275,53961,27361,14118,10940,3017,20543,13313,5160,39212,13856
5001600US1212,"Congressional District 12 (116th Congress), Florida",320844,6720,29258,43848,73346,31530,15697,11260,1585,22160,18116,8876,44157,14291
5001600US1213,"Congressional District 13 (116th Congress), Florida",340136,6207,31438,47059,76092,39393,18168,13092,1020,18614,24720,7672,42943,13718
5001600US1214,"Congressional District 14 (116th Congress), Florida",380716,8818,40670,60368,86602,41356,17549,12027,1344,24941,18179,9759,41883,17220
5001600US1215,"Congressional District 15 (116th Congress), Florida",355156,6458,30160,41736,72274,42613,16689,13973,5871,25545,18971,10648,50397,19821
5001600US1216,"Congressional District 16 (116th Congress), Florida",344733,5984,28913,45912,71973,39178,18483,12913,5182,27622,20594,9156,45034,13789
5001600US1217,"Congressional District 17 (116th Congress), Florida",274044,4061,15863,29124,55732,29601,14385,12827,11340,26397,13478,5724,42327,13185
5001600US1218,"Congressional District 18 (116th Congress), Florida",337983,6015,23762,45777,72154,39279,19795,13913,3621,26391,17323,8611,44741,16601
5001600US1219,"Congressional District 19 (116th Congress), Florida",328031,5332,25262,43435,65109,45732,17110,10507,2442,34540,11335,7184,46422,13621
5001600US1220,"Congressional District 20 (116th Congress), Florida",362084,7994,22399,44561,81922,42362,20326,14488,3257,26853,15561,9693,48872,23796
5001600US1221,"Congressional District 21 (116th Congress), Florida",347625,6979,26466,55565,70763,41787,20960,10001,2458,28139,13691,9043,47718,14055
5001600US1222,"Congressional District 22 (116th Congress), Florida",377272,8440,34297,60863,70587,44203,22276,12300,654,25899,19213,13107,47553,17880
5001600US1223,"Congressional District 23 (116th Congress), Florida",375169,8378,34614,54396,76717,38571,19480,16345,1578,21842,16339,16849,47330,22730
5001600US1224,"Congressional District 24 (116th Congress), Florida",341402,6575,18995,41593,69056,49009,21010,13805,822,26364,12458,8750,45442,27523
5001600US1225,"Congressional District 25 (116th Congress), Florida",362294,6330,22143,44373,60398,36089,23768,9278,10194,34506,25349,15429,43489,30948
5001600US1226,"Congressional District 26 (116th Congress), Florida",369120,5767,27108,43144,79510,40709,21777,15778,6802,29567,13080,11793,47260,26825
5001600US1227,"Congressional District 27 (116th Congress), Florida",385695,8896,38089,59099,76199,46376,24194,11420,1544,29200,13796,15329,37657,23896
5001600US1301,"Congressional District 1 (116th Congress), Georgia",314979,4522,14722,27696,68707,36819,14991,23535,3789,21550,31421,6415,38220,22592
5001600US1302,"Congressional District 2 (116th Congress), Georgia",255622,2859,15922,18350,61019,22881,12465,19610,8779,14717,29483,5218,31482,12837
5001600US1303,"Congressional District 3 (116th Congress), Georgia",324795,5729,18358,29442,66945,28713,15767,17303,1716,20386,44667,9318,36428,30023
5001600US1304,"Congressional District 4 (116th Congress), Georgia",357316,10150,20926,43307,82590,32966,18262,17929,825,20781,28840,8835,43800,28105
5001600US1305,"Congressional District 5 (116th Congress), Georgia",374474,13767,26314,65246,80573,43480,18842,17151,817,13803,19910,9289,36265,29017
5001600US1306,"Congressional District 6 (116th Congress), Georgia",396780,17687,41521,91124,65441,37091,19043,10029,1034,21023,26170,13176,38052,15389
5001600US1307,"Congressional District 7 (116th Congress), Georgia",396973,14085,30672,62669,68673,37661,20500,10870,797,33394,36692,14832,48321,17807
5001600US1308,"Congressional District 8 (116th Congress), Georgia",291471,3663,14472,22578,68053,26167,13555,26696,9662,17503,31782,6368,36302,14670
5001600US1309,"Congressional District 9 (116th Congress), Georgia",324753,5112,14536,27734,66190,26801,16626,12524,6363,26653,52802,11110,42594,15708
5001600US1310,"Congressional District 10 (116th Congress), Georgia",326494,5013,16573,31691,77151,29130,16060,16597,5478,23206,35241,9147,41632,19575
5001600US1311,"Congressional District 11 (116th Congress), Georgia",390637,11845,32117,61072,71576,37101,16987,13125,1434,31178,36113,12078,46796,19215
5001600US1312,"Congressional District 12 (116th Congress), Georgia",291195,3784,11204,24091,72171,27237,13657,18347,7171,21118,33229,5834,35701,17651
5001600US1313,"Congressional District 13 (116th Congress), Georgia",355421,9753,21217,38391,73645,34436,17211,19846,549,22194,25233,11370,40079,41497
5001600US1314,"Congressional District 14 (116th Congress), Georgia",320155,5021,14493,24929,60562,24349,16430,12335,3153,24876,69842,8636,37094,18435
5001600US1501,"Congressional District 1 (116th Congress), Hawaii",351091,5754,25119,34818,74775,53570,15439,34350,1581,22494,12008,8721,40623,21839
5001600US1502,"Congressional District 2 (116th Congress), Hawaii",326355,4475,20291,33809,64128,57864,14143,25661,8488,27240,8415,6306,37459,18076
5001600US1601,"Congressional District 1 (116th Congress), Idaho",387683,7610,21428,37919,84952,34303,19276,20317,16034,30899,37973,9683,48078,19211
5001600US1602,"Congressional District 2 (116th Congress), Idaho",381018,6115,18060,40610,87684,35223,15992,17612,24185,25070,37293,10635,44072,18467
5001600US1701,"Congressional District 1 (116th Congress), Illinois",309691,5458,20534,33317,85542,26749,13800,16884,618,16682,23442,7135,32529,27001
5001600US1702,"Congressional District 2 (116th Congress), Illinois",296732,5301,17510,27489,79932,24558,13168,14840,1792,12748,30783,5908,32339,30364
5001600US1703,"Congressional District 3 (116th Congress), Illinois",338845,5836,22950,36472,69108,33763,17576,15269,620,24312,36703,10913,36485,28838
5001600US1704,"Congressional District 4 (116th Congress), Illinois",344312,5991,17433,44710,60436,49441,19778,7963,801,22376,50114,10098,34455,20716
5001600US1705,"Congressional District 5 (116th Congress), Illinois",431034,12228,45363,86732,91509,37016,20645,14520,591,18480,33647,11900,36123,22280
5001600US1706,"Congressional District 6 (116th Congress), Illinois",380559,10369,36086,57344,81234,29539,17449,8999,989,18413,47180,15334,38112,19511
5001600US1707,"Congressional District 7 (116th Congress), Illinois",343633,7896,34791,60462,86182,31445,14566,12260,602,8864,26650,8528,28917,22470
