CTYFIPS,CTY_NAME,total_worker_pop_2018,total_worker_pop_2013,delta_agro,pct_agro_2018,pct_agro_2013,delta_construct,pct_construct_2018,pct_construct_2013,delta_manufact,pct_manufact_2018,pct_manufact_2013,delta_wholesale,pct_wholesale_2018,pct_wholesale_2013,delta_retail,pct_retail_2018,pct_retail_2013,delta_transport_util,pct_transport_util_2018,pct_transport_util_2013,delta_information,pct_information_2018,pct_information_2013,delta_finance_realest,pct_finance_realest_2018,pct_finance_realest_2013,delta_prof_sci_mgmt_adm,pct_prof_sci_mgmt_adm_2018,pct_prof_sci_mgmt_adm_2013,delta_edu_health,pct_edu_health_2018,pct_edu_health_2013,delta_arts_ent_food_rec,pct_arts_ent_food_rec_2018,pct_arts_ent_food_rec_2013,delta_otherserv,pct_otherserv_2018,pct_otherserv_2013,delta_public_admin,pct_public_admin_2018,pct_public_admin_2013
0500000US01001,"Autauga County, Alabama",24124,23937,-0.357142857,0.009,0.014,0.034482759,0.06,0.058,0,0.129,0.129,-0.1,0.027,0.03,-0.340740741,0.089,0.135,0.186440678,0.07,0.059,0.454545455,0.016,0.011,0.05,0.063,0.06,0.141025641,0.089,0.078,0.13559322,0.201,0.177,0.065789474,0.081,0.076,0.050847458,0.062,0.059,-0.096491228,0.103,0.114
0500000US01003,"Baldwin County, Alabama",93379,81969,-0.315789474,0.013,0.019,-0.06741573,0.083,0.089,0.02247191,0.091,0.089,0.068965517,0.031,0.029,-0.061643836,0.137,0.146,-0.039215686,0.049,0.051,0.076923077,0.014,0.013,0.213114754,0.074,0.061,0.070707071,0.106,0.099,0.025510204,0.201,0.196,-0.098214286,0.101,0.112,0,0.049,0.049,0.108695652,0.051,0.046
0500000US01005,"Barbour County, Alabama",8720,9344,0.40625,0.045,0.032,0.06779661,0.063,0.059,0.025751073,0.239,0.233,0.647058824,0.028,0.017,-0.123966942,0.106,0.121,0.112903226,0.069,0.062,-0.8,0.002,0.01,0,0.04,0.04,-0.094339623,0.048,0.053,-0.074626866,0.186,0.201,-0.202702703,0.059,0.074,0.333333333,0.044,0.033,0.059701493,0.071,0.067
0500000US01007,"Bibb County, Alabama",8099,8022,1.727272727,0.06,0.022,-0.0625,0.09,0.096,-0.060301508,0.187,0.199,-0.451612903,0.017,0.031,-0.35915493,0.091,0.142,-0.289855072,0.049,0.069,12,0.013,0.001,0.393939394,0.046,0.033,0.02173913,0.047,0.046,0.070422535,0.228,0.213,0.1,0.044,0.04,0.171875,0.075,0.064,0.204545455,0.053,0.044
0500000US01009,"Blount County, Alabama",21346,23015,-0.206896552,0.023,0.029,-0.04040404,0.095,0.099,-0.040935673,0.164,0.171,0,0.036,0.036,0.044247788,0.118,0.113,-0.092105263,0.069,0.076,0.444444444,0.013,0.009,0.45,0.058,0.04,0.305084746,0.077,0.059,-0.04368932,0.197,0.206,-0.021276596,0.046,0.047,-0.142857143,0.06,0.07,0.045454545,0.046,0.044
0500000US01011,"Bullock County, Alabama",3940,4076,-0.468468468,0.059,0.111,-0.727777778,0.049,0.18,0.751295337,0.338,0.193,-0.571428571,0.009,0.021,-0.329896907,0.065,0.097,0.405405405,0.052,0.037,-0.870967742,0.004,0.031,-0.206896552,0.023,0.029,0.633333333,0.049,0.03,0.2,0.162,0.135,1.5625,0.082,0.032,0.078947368,0.041,0.038,-0.015151515,0.065,0.066
0500000US01013,"Butler County, Alabama",7885,7606,-0.090909091,0.03,0.033,-0.222222222,0.056,0.072,0.290322581,0.24,0.186,-0.263157895,0.014,0.019,-0.157894737,0.112,0.133,-0.148148148,0.046,0.054,0.181818182,0.013,0.011,-0.210526316,0.03,0.038,-0.178571429,0.046,0.056,-0.009708738,0.204,0.206,0.166666667,0.105,0.09,0.53125,0.049,0.032,-0.202898551,0.055,0.069
0500000US01015,"Calhoun County, Alabama",48157,45644,0.714285714,0.012,0.007,0.276595745,0.06,0.047,-0.016759777,0.176,0.179,0.090909091,0.024,0.022,0,0.126,0.126,0.179487179,0.046,0.039,-0.0625,0.015,0.016,0.294117647,0.044,0.034,-0.1,0.072,0.08,0.014018692,0.217,0.214,-0.12371134,0.085,0.097,0,0.049,0.049,-0.208791209,0.072,0.091
0500000US01017,"Chambers County, Alabama",14786,12802,0.25,0.015,0.012,-0.391891892,0.045,0.074,0.28,0.288,0.225,0.2,0.024,0.02,-0.161290323,0.104,0.124,-0.162790698,0.036,0.043,-0.05,0.019,0.02,-0.25,0.036,0.048,-0.056074766,0.101,0.107,0,0.188,0.188,0.032786885,0.063,0.061,-0.023809524,0.041,0.042,0.111111111,0.04,0.036
0500000US01019,"Cherokee County, Alabama",9805,10217,0.434782609,0.033,0.023,-0.206521739,0.073,0.092,0.258373206,0.263,0.209,-0.653846154,0.009,0.026,-0.105691057,0.11,0.123,0.15625,0.074,0.064,-0.230769231,0.01,0.013,-0.470588235,0.018,0.034,0.27027027,0.047,0.037,0.088785047,0.233,0.214,-0.145454545,0.047,0.055,-0.676470588,0.022,0.068,0.441860465,0.062,0.043
