var,est_year,spatial_unit,moransI,p_val
pctAgriculture,2018,cd,0.512,6.97E-71
pctAgriculture,2013,cd,0.508,5.16E-69
pctAgriculture,2018,cty,0.609,0.00E+00
pctAgriculture,2013,cty,0.606,0.00E+00
pctAgriculture,delta,cty,0.041,2.32E-05
pctArtsEntFood,2018,cd,0.421,1.50E-47
pctArtsEntFood,2013,cd,0.398,4.48E-43
pctArtsEntFood,2018,cty,0.301,2.40E-177
pctArtsEntFood,2013,cty,0.283,2.55E-16
pctArtsEntFood,delta,cty,0.017,4.08E-02
pctConstruction,2018,cd,0.293,1.47E-23
pctConstruction,2013,cd,0.286,1.52E-22
pctConstruction,2018,cty,0.216,2.61E-92
pctConstruction,2013,cty,0.211,2.39E-87
pctConstruction,delta,cty,0.001,4.13E-01
pctEduHealth,2018,cd,0.249,1.12E-17
pctEduHealth,2013,cd,0.226,6.92E-15
pctEduHealth,2018,cty,0.298,1.23E-173
pctEduHealth,2013,cty,0.253,6.63E-125
pctEduHealth,delta,cty,0.035,4.43E-04
pctFinReal,2018,cd,0.292,3.39E-23
pctFinReal,2013,cd,0.31,8.23E-26
pctFinReal,2018,cty,0.351,2.25E-240
pctFinReal,2013,cty,0.366,2.82E-259
pctFinReal,delta,cty,0.025,8.35E-03
pctInfo,2018,cd,0.522,3.28E-71
pctInfo,2013,cd,0.499,3.99E-65
pctInfo,2018,cty,0.193,1.82E-74
pctInfo,2013,cty,0.177,2.19E-62
pctInfo,delta,cty,0.016,6.14E-02
pctManuf,2018,cd,0.606,6.93E-92
pctManuf,2013,cd,0.567,2.37E-80
pctManuf,2018,cty,0.652,0.00E+00
pctManuf,2013,cty,0.613,0.00E+00
pctManuf,delta,cty,0.076,1.62E-14
pctOtherServ,2018,cd,0.257,6.99E-19
pctOtherServ,2013,cd,0.245,3.06E-17
pctOtherServ,2018,cty,0.093,6.56E-19
pctOtherServ,2013,cty,0.118,8.89E-29
pctOtherServ,delta,cty,-0.002,5.64E-01
pctProfSci,2018,cd,0.467,1.19E-55
pctProfSci,2013,cd,0.483,2.93E-59
pctProfSci,2018,cty,0.528,0.00E+00
pctProfSci,2013,cty,0.544,0.00E+00
pctProfSci,delta,cty,0.011,1.33E-01
pctPubAdmin,2018,cd,0.578,1.27E-84
pctPubAdmin,2013,cd,0.569,7.99E-82
pctPubAdmin,2018,cty,0.448,0.00E+00
pctPubAdmin,2013,cty,0.441,0.00E+00
pctPubAdmin,delta,cty,0.055,8.54E-08
pctRetail,2018,cd,0.271,8.88E-21
pctRetail,2013,cd,0.237,1.96E-16
pctRetail,2018,cty,0.191,1.95E-72
pctRetail,2013,cty,0.152,8.53E-47
pctRetail,delta,cty,-0.008,7.54E-01
pctTransport,2018,cd,0.279,2.61E-21
pctTransport,2013,cd,0.272,2.86E-20
pctTransport,2018,cty,0.243,6.75E-117
pctTransport,2013,cty,0.258,9.89E-130
pctTransport,delta,cty,-0.002,6.37E-01
pctWholesale,2018,cd,0.34,9.85E-31
pctWholesale,2013,cd,0.344,3.76E-31
pctWholesale,2018,cty,0.253,4.27E-129
pctWholesale,2013,cty,0.244,9.93E-17
pctWholesale,delta,cty,0.004,3.31E-01
