name,year,DoD,DoEd,HHS,DoT,DoEnrg,NASA,NSF,DoA,EPA,DoHS,DoC,GEOID,id
"District 10, New Jersey",2008,729671,0,600000,0,0,0,0,342510,0,0,0,5001600US3410,0
"District 10, New Jersey",2009,819998,0,0,0,0,0,0,0,0,0,0,5001600US3410,1
"District 10, New Jersey",2010,270000,0,584678,0,0,0,350000,0,0,0,0,5001600US3410,2
"District 10, New Jersey",2011,399720,0,299776,0,0,0,0,0,0,0,0,5001600US3410,3
"District 10, New Jersey",2012,959823,0,1000000,0,0,124893,0,0,0,0,0,5001600US3410,4
"District 10, New Jersey",2013,633829,0,0,0,0,0,150000,0,0,0,0,5001600US3410,5
"District 10, New Jersey",2014,0,0,1716256,0,0,0,0,100000,0,0,0,5001600US3410,6
"District 10, New Jersey",2015,0,0,0,0,0,0,0,0,0,0,0,5001600US3410,7
"District 10, New Jersey",2016,0,0,1617668,0,0,124999,0,0,0,0,0,5001600US3410,8
"District 10, New Jersey",2017,0,0,326125,0,0,0,0,0,0,0,0,5001600US3410,9
"District 10, New Jersey",2018,0,0,2368014,0,0,0,0,0,0,0,0,5001600US3410,10
"District 7, Ohio",2008,0,0,0,0,0,0,0,0,0,0,0,5001600US3907,11
"District 7, Ohio",2009,0,0,0,0,0,0,0,80000,0,0,0,5001600US3907,12
"District 7, Ohio",2010,0,0,0,0,0,0,0,400000,137020,0,0,5001600US3907,13
"District 7, Ohio",2011,0,0,0,0,0,0,0,0,0,0,0,5001600US3907,14
"District 7, Ohio",2012,0,0,0,0,0,0,0,0,0,0,0,5001600US3907,15
"District 7, Ohio",2013,64488,0,0,0,0,0,0,0,0,0,0,5001600US3907,16
"District 7, Ohio",2014,0,0,0,0,0,0,0,0,0,0,0,5001600US3907,17
"District 7, Ohio",2015,0,0,0,0,0,0,225000,0,0,0,0,5001600US3907,18
"District 7, Ohio",2016,0,0,0,0,0,0,0,0,0,0,0,5001600US3907,19
"District 7, Ohio",2017,0,0,0,0,0,0,0,0,0,0,0,5001600US3907,20
"District 7, Ohio",2018,0,0,0,0,0,0,0,0,0,0,0,5001600US3907,21
"District 2, Pennsylvania",2008,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,22
"District 2, Pennsylvania",2009,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,23
"District 2, Pennsylvania",2010,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,24
"District 2, Pennsylvania",2011,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,25
"District 2, Pennsylvania",2012,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,26
"District 2, Pennsylvania",2013,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,27
"District 2, Pennsylvania",2014,0,0,0,0,0,0,0,0,100000,0,0,5001600US4202,28
"District 2, Pennsylvania",2015,0,0,0,0,0,0,0,0,300000,0,0,5001600US4202,29
"District 2, Pennsylvania",2016,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,30
"District 2, Pennsylvania",2017,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,31
"District 2, Pennsylvania",2018,0,0,0,0,0,0,0,0,0,0,0,5001600US4202,32
"District 23, Texas",2008,849508,0,99978,0,0,0,0,0,0,0,0,5001600US4823,33
"District 23, Texas",2009,699754,0,0,0,0,0,0,0,0,0,0,5001600US4823,34
"District 23, Texas",2010,0,0,0,0,0,0,0,0,0,0,0,5001600US4823,35
"District 23, Texas",2011,99962,0,0,0,0,0,150000,0,0,0,0,5001600US4823,36
"District 23, Texas",2012,248956,0,0,0,0,0,467234,0,0,0,0,5001600US4823,37
"District 23, Texas",2013,744702,0,299988,0,0,0,0,0,0,0,0,5001600US4823,38
"District 23, Texas",2014,749296,0,1202986,0,0,0,0,0,0,0,0,5001600US4823,39
"District 23, Texas",2015,0,0,439989,0,0,0,0,0,0,0,0,5001600US4823,40
"District 23, Texas",2016,499668,0,1454363,0,0,0,0,0,0,0,0,5001600US4823,41
"District 23, Texas",2017,0,0,0,0,0,0,0,0,0,0,0,5001600US4823,42
"District 23, Texas",2018,99994.97,0,222276,0,0,0,0,0,0,0,0,5001600US4823,43
"District 2, Florida",2008,70000,0,0,0,192026,0,0,0,0,0,0,5001600US1202,44
"District 2, Florida",2009,0,0,0,0,557366,0,0,0,0,0,0,5001600US1202,45
"District 2, Florida",2010,0,0,0,0,0,0,0,0,0,0,0,5001600US1202,46
"District 2, Florida",2011,0,0,213304,0,0,0,0,0,0,0,0,5001600US1202,47
"District 2, Florida",2012,0,0,0,0,0,0,0,0,0,0,0,5001600US1202,48
"District 2, Florida",2013,0,0,0,0,149982,0,0,0,0,0,0,5001600US1202,49
"District 2, Florida",2014,0,0,0,0,145714,0,225000,0,0,0,0,5001600US1202,50
"District 2, Florida",2015,153995,0,0,0,0,0,0,99994,0,0,0,5001600US1202,51
"District 2, Florida",2016,0,0,0,0,0,0,0,99641,0,0,0,5001600US1202,52
"District 2, Florida",2017,0,0,225000,0,140684,0,224825,0,0,0,0,5001600US1202,53
"District 2, Florida",2018,0,0,0,0,0,0,0,99921,0,0,0,5001600US1202,54
"District (at Large), Montana",2008,1779927,99854,2343044,0,99999,1998408,1391180,1479706,0,199981,89974,5001600US3000,55
"District (at Large), Montana",2009,1664732,0,1862387,0,950000,1586556,750000,509938,140000,0,389936,5001600US3000,56
"District (at Large), Montana",2010,3450902,0,2060305,0,1000000,2380212,589301,971369,728926.33,0,0,5001600US3000,57
"District (at Large), Montana",2011,3721027,74925,1541928,0,0,3794339,499996,0,0,1832313,0,5001600US3000,58
"District (at Large), Montana",2012,4908493,0,2413915,150000,0,123501,599332,0,0,0,94998,5001600US3000,59
"District (at Large), Montana",2013,4086136,0,922283,0,150000,448536,1432183,200000,0,0,399993,5001600US3000,60
"District (at Large), Montana",2014,6329573,0,2962409,0,1524852.8,1999733,1370765,199989,99944,0,0,5001600US3000,61
"District (at Large), Montana",2015,2276514,0,1651023,0,2724441,1748674,568652,452085,300000,0,0,5001600US3000,62
"District (at Large), Montana",2016,1586277,0,2957016,0,1403910,2216791,299460,198316,0,0,219727,5001600US3000,63
"District (at Large), Montana",2017,2824860.22,0,4630782,0,1299081,2872546,225000,699852,0,0,299926,5001600US3000,64
"District (at Large), Montana",2018,373949,0,8776866,0,1449506.2,1997877,1199608,699560,99999,0,0,5001600US3000,65
"District 3, California",2008,198998,0,1919255,0,0,0,1000000,347000,140000,0,0,5001600US0603,66
"District 3, California",2009,0,74963,99877,0,0,0,0,0,140000,0,0,5001600US0603,67
"District 3, California",2010,1499972,0,334320,0,0,0,149998,0,0,0,0,5001600US0603,68
"District 3, California",2011,0,0,0,0,0,0,0,99800,0,0,0,5001600US0603,69
"District 3, California",2012,0,0,2876936,0,0,0,0,100000,0,0,0,5001600US0603,70
"District 3, California",2013,0,0,298447,0,0,0,0,0,0,0,0,5001600US0603,71
"District 3, California",2014,0,0,642618,0,149982,0,277992,0,0,0,0,5001600US0603,72
"District 3, California",2015,398173,0,2644646,0,1150000,0,1990532,0,0,0,0,5001600US0603,73
"District 3, California",2016,1509932,0,5382282,0,1000000,0,1273066,700000,0,0,0,5001600US0603,74
"District 3, California",2017,0,0,824637,0,0,0,974995,100000,0,0,0,5001600US0603,75
"District 3, California",2018,0,0,1954263,0,150000,0,225000,599977,0,0,0,5001600US0603,76
